# global-step learning-rate train-g-loss train-d-loss valid-g-loss valid-d-loss
0 0.1000 78575.21 0.00 0.0 0.000
1 0.1000 69084.65 0.00 0.0 0.000
2 0.1000 78296.42 0.00 0.0 0.000
3 0.1000 63559.86 0.00 0.0 0.000
4 0.1000 62450.49 0.00 0.0 0.000
5 0.1000 86679.86 0.00 0.0 0.000
6 0.1000 141.34 141.91 1.37e+02 137.606
7 0.1000 135.55 135.77 1.34e+02 132.376
8 0.1000 131.09 130.37 1.26e+02 126.299
9 0.1000 124.91 124.70 1.23e+02 121.541
10 0.1000 120.63 119.44 1.15e+02 116.319
11 0.1000 115.20 114.65 1.14e+02 111.384
12 0.1000 111.22 110.02 1.07e+02 107.133
