# global-step learning-rate train-g-loss train-d-loss valid-g-loss valid-d-loss
0 0.1000 214034.47 0.00 0.0 0.000
1 0.1000 106283.60 0.00 0.0 0.000
2 0.1000 78973.22 0.00 0.0 0.000
3 0.1000 77658.25 0.00 0.0 0.000
4 0.1000 91486.32 0.00 0.0 0.000
5 0.1000 67506.85 0.00 0.0 0.000
6 0.10000000149011612 143.8052215576172 143.9591827392578 None None
7 0.10000000149011612 140.36912536621094 139.80113983154297 None None
8 0.10000000149011612 136.4840087890625 135.61426544189453 None None
9 0.10000000149011612 132.6820297241211 131.68340301513672 None None
